"YearStart","LocationAbbr","LocationDesc","Class","Question","Data_Value","QuestionRenamed"
"2014","TX","Texas","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2014","SC","South Carolina","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2018","MT","Montana","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2019","ND","North Dakota","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2011","NV","Nevada","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","0.0","Percent of BFHI births"
"2015","DE","Delaware","Physical Activity","Percent of U.S. population living within 1/2 mile of a park","52.8","Percent People Living 1/2 Mile of a Park"
"2015","NM","New Mexico","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2012","CO","Colorado","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2011","OR","Oregon","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","8.0","Percent of BFHI births"
"2019","SD","South Dakota","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2013","AK","Alaska","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2017","IN","Indiana","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2015","MT","Montana","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2015","NC","North Carolina","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","27.9","Percent of BFHI births"
"2016","NM","New Mexico","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","Yes","State-National Alignment on Fruit Serving  Regulations"
"2019","US","National","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","0","State-National Alignment on Avoiding Sugar Regulations"
"2017","AR","Arkansas","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","9.9","Percent of BFHI births"
"2014","VA","Virginia","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2013","FL","Florida","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2016","NE","Nebraska","Physical Activity","Percent of youth with parks or playground areas, community centers and sidewalks or walking paths available in their neighborhood","36.9","Percent of Youth with Activity Areas Nearby"
"2016","LA","Louisiana","Sugar Drinks","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar","48.3","Percent Sec Schools Allowing Sports Drink"
"2012","KS","Kansas","Breastfeeding","Number of La Leche League leaders per 1,000 live births","1.9","La Leche Leaders Count"
"2016","MD","Maryland","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","Yes","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2014","HI","Hawaii","Sugar Drinks","Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar","4.7","Percent Sec Schools Allowing Soda Purchase"
"2017","CT","Connecticut","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2016","OK","Oklahoma","Physical Activity","Percent of youth with parks or playground areas, community centers and sidewalks or walking paths available in their neighborhood","19.2","Percent of Youth with Activity Areas Nearby"
"2012","OH","Ohio","Physical Activity","State provides guidance on policies for school districts or schools on walking or biking to or from school","No","State Guidance on Commuting to School by Walk or Bike"
"2014","MO","Missouri","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2014","DE","Delaware","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2014","NM","New Mexico","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","Yes","State-National Alignment on Fruit Serving  Regulations"
"2012","AL","Alabama","Physical Activity","State provides guidance on policies for school districts or schools on time spent in moderate-to-vigorous intensity physical activity during physical education class","Yes","State Guidance on Policies for Time Spent in Activity During PE Class"
"2015","KY","Kentucky","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.3","La Leche Leaders Count"
